Station,Clustering
Philadelphia,0.0
Pennsauken,0.0
Cherry Hill,0.0
Lindenwold,0.0
Atco,0.0
Hammonton,0.0
Egg Harbor City,0.0
Absecon,0.0
Atlantic City Rail Terminal,0.0
Hoboken,0.3333333333333333
Secaucus Lower Lvl,0.0
Rutherford,0.0
Wesmont,0.0
Garfield,0.0
Plauderville,0.0
Broadway Fair Lawn,0.0
Radburn Fair Lawn,0.0
Glen Rock Boro Hall,0.0
Ridgewood,0.0
Ho-Ho-Kus,0.0
Waldwick,0.0
Allendale,0.0
Ramsey Main St,0.0
Ramsey Route 17,0.0
Mahwah,0.0
Suffern,0.0
Sloatsburg,0.0
Tuxedo,0.0
Harriman,0.0
Salisbury Mills-Cornwall,0.0
Campbell Hall,0.0
Middletown NY,0.0
Otisville,0.0
Port Jervis,0.0
Newark Broad Street,0.16666666666666666
East Orange,0.0
Brick Church,0.0
Orange,0.0
Highland Avenue,0.0
Mountain Station,0.0
South Orange,0.0
Maplewood,0.0
Millburn,0.0
Short Hills,0.0
Summit,0.0
New Providence,0.0
Murray Hill,0.0
Berkeley Heights,0.0
Gillette,0.0
Stirling,0.0
Millington,0.0
Lyons,0.0
Basking Ridge,0.0
Bernardsville,0.0
Far Hills,0.0
Peapack,0.0
Gladstone,0.0
Kingsland,0.0
Lyndhurst,0.0
Delawanna,0.0
Passaic,0.0
Clifton,0.0
Paterson,0.0
Hawthorne,0.0
Glen Rock Main Line,0.0
Secaucus Upper Lvl,0.3333333333333333
Watsessing Avenue,0.0
Bloomfield,0.0
Glen Ridge,0.0
Bay Street,0.0
Walnut Street,0.0
Watchung Avenue,0.0
Upper Montclair,0.0
Mountain Avenue,0.0
Montclair Heights,0.0
Little Falls,0.0
Wayne-Route 23,0.0
Mountain View,0.0
Lincoln Park,0.0
Towaco,0.0
Boonton,0.0
Mountain Lakes,0.0
Denville,0.0
Dover,0.3333333333333333
Mount Arlington,1.0
Lake Hopatcong,0.3333333333333333
Netcong,0.0
Mount Olive,0.0
Hackettstown,0.0
Chatham,0.0
Madison,0.0
Convent Station,0.0
Morristown,0.0
Morris Plains,0.0
Mount Tabor,0.0
Newark Penn Station,0.0
Newark Airport,0.0
North Elizabeth,0.0
Elizabeth,0.0
Linden,0.0
Rahway,0.0
Avenel,0.0
Woodbridge,0.0
Perth Amboy,0.0
South Amboy,0.0
Aberdeen-Matawan,0.0
Allenhurst,0.0
Asbury Park,0.0
Bradley Beach,0.0
Belmar,0.0
Long Branch,0.0
Manasquan,0.0
Point Pleasant Beach,0.0
Bay Head,0.0
New York Penn Station,1.0
Metropark,0.0
Metuchen,0.0
Edison,0.0
New Brunswick,0.0
Jersey Avenue,0.0
Princeton Junction,0.0
Hamilton,0.0
Trenton,0.0
Wood Ridge,0.0
Teterboro,0.0
Essex Street,0.0
Anderson Street,0.0
New Bridge Landing,0.0
River Edge,0.0
Oradell,0.0
Emerson,0.0
Westwood,0.0
Hillsdale,0.0
Woodcliff Lake,0.0
Park Ridge,0.0
Montvale,0.0
Pearl River,0.0
Nanuet,0.0
Spring Valley,0.0
Princeton,0.0
Union,0.0
Roselle Park,0.0
Cranford,0.0
Garwood,0.0
Westfield,0.0
Fanwood,0.0
Netherwood,0.0
Plainfield,0.0
Dunellen,0.0
Bound Brook,0.0
Bridgewater,0.0
Somerville,0.0
Raritan,0.0
North Branch,0.0
White House,0.0
Lebanon,0.0
Annandale,0.0
High Bridge,0.0
