Station,Degree
Philadelphia,1
Pennsauken,2
Cherry Hill,2
Lindenwold,2
Atco,2
Hammonton,2
Egg Harbor City,2
Absecon,2
Atlantic City Rail Terminal,1
Hoboken,4
Secaucus Lower Lvl,4
Rutherford,2
Wesmont,2
Garfield,2
Plauderville,2
Broadway Fair Lawn,2
Radburn Fair Lawn,2
Glen Rock Boro Hall,2
Ridgewood,3
Ho-Ho-Kus,2
Waldwick,2
Allendale,2
Ramsey Main St,2
Ramsey Route 17,2
Mahwah,2
Suffern,2
Sloatsburg,2
Tuxedo,2
Harriman,2
Salisbury Mills-Cornwall,2
Campbell Hall,2
Middletown NY,2
Otisville,2
Port Jervis,1
Newark Broad Street,4
East Orange,2
Brick Church,2
Orange,2
Highland Avenue,2
Mountain Station,2
South Orange,2
Maplewood,2
Millburn,2
Short Hills,2
Summit,3
New Providence,2
Murray Hill,2
Berkeley Heights,2
Gillette,2
Stirling,2
Millington,2
Lyons,2
Basking Ridge,2
Bernardsville,2
Far Hills,2
Peapack,2
Gladstone,1
Kingsland,2
Lyndhurst,2
Delawanna,2
Passaic,2
Clifton,2
Paterson,2
Hawthorne,2
Glen Rock Main Line,2
Secaucus Upper Lvl,4
Watsessing Avenue,2
Bloomfield,2
Glen Ridge,2
Bay Street,2
Walnut Street,2
Watchung Avenue,2
Upper Montclair,2
Mountain Avenue,2
Montclair Heights,2
Little Falls,2
Wayne-Route 23,2
Mountain View,2
Lincoln Park,2
Towaco,2
Boonton,2
Mountain Lakes,2
Denville,3
Dover,3
Mount Arlington,2
Lake Hopatcong,3
Netcong,2
Mount Olive,2
Hackettstown,1
Chatham,2
Madison,2
Convent Station,2
Morristown,2
Morris Plains,2
Mount Tabor,2
Newark Penn Station,3
Newark Airport,2
North Elizabeth,2
Elizabeth,2
Linden,2
Rahway,3
Avenel,2
Woodbridge,2
Perth Amboy,2
South Amboy,2
Aberdeen-Matawan,2
Allenhurst,2
Asbury Park,2
Bradley Beach,2
Belmar,2
Long Branch,2
Manasquan,2
Point Pleasant Beach,2
Bay Head,1
New York Penn Station,2
Metropark,2
Metuchen,2
Edison,2
New Brunswick,2
Jersey Avenue,2
Princeton Junction,3
Hamilton,2
Trenton,1
Wood Ridge,2
Teterboro,2
Essex Street,2
Anderson Street,2
New Bridge Landing,2
River Edge,2
Oradell,2
Emerson,2
Westwood,2
Hillsdale,2
Woodcliff Lake,2
Park Ridge,2
Montvale,2
Pearl River,2
Nanuet,2
Spring Valley,1
Princeton,1
Union,2
Roselle Park,2
Cranford,2
Garwood,2
Westfield,2
Fanwood,2
Netherwood,2
Plainfield,2
Dunellen,2
Bound Brook,2
Bridgewater,2
Somerville,2
Raritan,2
North Branch,2
White House,2
Lebanon,2
Annandale,2
High Bridge,1
